58612583,锦江都城酒店(晋江万达广场店),四星级/高档型,203,33,17,11,3,2,0
19261892,锦江之星(泉州客运中心站店),经济型,180,26,18,7,1,0,0
5151180,如家快捷酒店(石狮子芳路泰禾广...,经济型,99,39,22,13,3,0,1
8688277,A家连锁酒店(民生店),经济型,58,29,19,9,1,0,0
14900300,锦江之星(泉州东海泰禾广场店),经济型,129,39,26,11,2,0,0
13042558,丰华酒店,经济型,138,15,8,5,0,2,0
20811605,悠品青年旅舍,经济型,45,14,11,2,1,0,0
5153483,泉州大华酒店,四星级/高档型,226,24,10,8,6,0,0
20726527,时光客栈(泉州承天店),经济型,38,7,2,3,2,0,0
65542133,艾唯时尚酒店,经济型,99,7,4,2,1,0,0
8067786,石狮泉冠酒店,四星级/高档型,166,24,10,9,1,0,4
6823935,万佳东方酒店,三星级/舒适型,108,110,75,17,11,6,1
16966691,尚客优快捷酒店(泉州钟楼店),经济型,152,61,35,18,5,2,1
17579800,A家连锁酒店(振兴店),经济型,68,20,11,4,2,0,3
22699353,悦海酒店,经济型,158,23,20,1,1,0,1
22572961,锦江之星(晋江机场阳光广场店),经济型,108,38,24,5,5,3,1
37787081,欧美.家,经济型,159,1,0,1,0,0,0
56700267,晋江马哥孛罗酒店,五星级/豪华型,601,4,3,0,0,0,1
13679937,晋江戴斯国际酒店,四星级/高档型,268,24,11,10,2,1,0
18534012,途家斯维登度假公寓酒店,三星级/舒适型,188,55,28,10,11,2,4
18688219,泉州鲤城大酒店,四星级/高档型,283,87,34,35,17,1,0
19610970,悦缤纷酒店,经济型,258,38,26,7,2,2,1
5150571,7天连锁酒店(晋江阳光时代广场店...,经济型,107,36,22,10,3,0,1
19188650,梅园国际大酒店,五星级/豪华型,379,25,20,3,0,1,1
57412558,龙之泉酒店,经济型,148,5,3,2,0,0,0
11572201,汉庭(南安新华街店),经济型,105,36,15,14,5,2,0
6602509,旧馆驿青年驿站,经济型,45,24,7,11,6,0,0
5153532,华侨大酒店,三星级/舒适型,168,69,38,17,11,1,2
5465217,泉州花园大酒店,四星级/高档型,698,37,11,17,3,2,4
67870564,玫瑰之约酒店(市标店),经济型,98,1,0,1,0,0,0
17870040,A家连锁酒店(大剧院店),经济型,68,8,6,0,2,0,0
6301141,大自然会所(八一酒店内),足疗按摩,107,254,156,46,31,8,13
12995884,东方巴黎商务酒店(阳光广场店),三星级/舒适型,88,136,76,39,16,1,4
15917851,南安万佳国际酒店,四星级/高档型,176,50,28,13,5,2,2
21692271,泉州荣誉国际酒店,四星级/高档型,438,22,18,4,0,0,0
13755873,钻石大酒店,三星级/舒适型,258,32,17,5,7,2,1
8387928,好地方商务酒店,经济型,98,58,30,14,7,3,4
19642856,东南半岛酒店足浴,足疗按摩,135,47,29,13,1,0,4
2433880,泉州华侨大厦(百源路店),四星级/高档型,353,41,11,17,8,1,3
65689681,滨海大酒店167足浴,足疗按摩,141,14,11,1,0,0,2
13755987,石狮建明国际酒店,五星级/豪华型,272,135,105,20,7,3,0
6604538,速8酒店(安溪龙湖店),经济型,148,24,14,5,2,0,3
5270672,泉州世贸中心酒店,四星级/高档型,285,59,20,18,13,1,7
4691270,石狮曼哈顿·建联大酒店,四星级/高档型,282,39,17,13,5,1,3
3464791,泉州明发大酒店,四星级/高档型,212,13,5,3,4,1,0
12986604,石狮阳光假日酒店,四星级/高档型,118,25,16,4,4,0,1
9011555,泉州长城戴斯酒店,四星级/高档型,256,60,23,23,8,4,2
2864107,晋江帝豪酒店,四星级/高档型,242,38,18,12,6,1,1
65386338,石狮最佳西方凯誉酒店,四星级/高档型,296,7,5,0,1,0,1
5257678,东方巴黎商务酒店,三星级/舒适型,108,70,45,11,7,1,6
2447683,丰泽大酒店,四星级/高档型,418,16,5,2,5,0,1
57841765,泉州湖美大酒店,四星级/高档型,392,12,3,7,1,0,1
9006801,泉州湖美假日酒店,四星级/高档型,227,21,10,5,5,0,1
5153461,南安大酒店,四星级/高档型,288,61,40,12,4,1,4
5153451,泉州金星大酒店,四星级/高档型,286,34,12,10,8,1,3
13755986,石狮金沙大酒店,四星级/高档型,169,18,15,1,2,0,0
13905494,湖景大酒店(客房部),三星级/舒适型,198,38,18,8,4,5,3
51123747,泉州东南半岛酒店,四星级/高档型,332,10,5,4,0,1,0
13761414,万骏都市酒店,三星级/舒适型,98,29,19,6,2,2,0
21599068,泉州瑞舍酒店,四星级/高档型,262,20,12,5,2,0,1
69730076,鲤行者客栈(邂逅旧馆驿),客栈旅舍,58,4,2,1,0,0,1
6166624,艾舍艺术酒店,三星级/舒适型,258,22,9,7,2,3,1
4558658,晋江爱乐假日酒店,四星级/高档型,383,37,13,18,3,1,2
5153539,泉州大鹏酒店,四星级/高档型,268,26,15,4,4,0,3
18350060,巷里国际青年旅舍,经济型,53,22,10,6,3,1,2
2508769,泉州航空酒店,四星级/高档型,383,76,38,33,4,0,0
57274086,太子酒店足疗养生会馆,足疗按摩,109,18,10,3,3,0,2
16964916,晋江万佳东方酒店,四星级/高档型,218,208,142,53,7,3,3
13701842,泉州万达文华酒店,五星级/豪华型,778,286,220,47,14,1,4
5161570,金玛国际酒店,五星级/豪华型,402,100,78,18,4,0,0
5240728,绿岛国际酒店,五星级/豪华型,1086,311,237,56,14,3,1
18564028,晋江佰翔世纪酒店(西餐厅),自助餐,109,249,149,64,25,9,2
8700566,万达文华酒店品珍中餐厅,自助餐,81,67,29,21,8,4,5
5342617,航空酒店自助餐厅,自助餐,87,545,317,145,55,18,10
45649907,石狮明昇铂尔曼酒店雅俪自助西餐...,自助餐,188,43,26,8,4,2,3
4549979,南安大酒店自助餐厅,自助餐,48,31,12,11,7,0,1
18421190,晋江温德姆酒店餐厅,自助餐,212,158,82,50,11,7,8
16093205,爱乐皇冠假日酒店,自助餐,138,156,104,22,21,4,5
22455878,泛华大酒店(自助餐厅),自助餐,102,162,97,32,17,7,9
58591028,达利世纪酒店自助餐厅,自助餐,173,20,8,5,3,1,3
16112986,晋江宝龙大酒店(西餐厅),自助餐,136,129,85,25,10,2,7
18554361,曼哈顿·建联大酒店西餐厅,自助餐,94,280,181,56,27,11,5
17842397,爱乐假日酒店·景福宫韩国料理,韩国料理,53,58,36,16,2,1,3
68022617,西湖缘泉水疗(缘泉美食水疗酒店),洗浴,118,61,30,17,5,4,5
5156648,晋江马哥孛罗大酒店·西餐厅,西餐,609,128,93,24,5,1,5
18982322,万佳东方酒店西餐厅,西餐,31,226,126,56,28,13,3
3896551,宝龙大酒店,五星级/豪华型,1020,74,52,15,5,1,1
19174624,西沙湾假日酒店自助餐,自助餐,118,51,27,13,6,2,3
21226990,晋江马哥孛罗大酒店·大堂吧,咖啡厅,108,21,12,5,2,0,2
6097983,钻石大酒店荣誉海鲜酒楼(荣誉海...,自助餐,121,20,3,5,3,1,0
15988803,永隆国际酒店,自助餐,162,44,25,12,7,0,0
19785499,华记土鸡(风雅酒店店),闽菜,48,98,57,24,12,0,5
4523114,荣誉国际酒店·中餐厅,闽菜,186,13,8,4,0,1,0
18507638,万达文华酒店面包店,面包甜点,49,28,17,7,3,1,0
3896557,荣誉国际酒店·云顶旋转餐厅,自助餐,219,955,682,185,62,12,14
6165894,滨海大酒店(淮秀路店),海鲜,262,114,69,24,13,6,2
44303278,万佳东方酒店足浴,足疗按摩,107,10,9,0,0,1,0
21822562,荣誉国际酒店·海棠厅,粤菜,86,16,5,7,2,2,0
58580498,泉州航空酒店,海鲜,114,38,23,13,0,2,0
10440463,马哥孛罗大酒店中餐厅-欣悦汉唐...,闽菜,197,6,4,2,0,0,0
58578080,友德大酒店餐厅,闽菜,186,56,27,13,7,3,6
27309127,马哥孛罗大酒店薰衣草水疗会所,足疗按摩,144,26,18,3,4,1,0
5153462,水头明超大酒店,四星级/高档型,248,31,12,13,4,1,1
1906087,荣誉大酒店·荣誉海鲜酒楼,海鲜,161,15,5,3,2,0,2
18201731,爱乐国际酒店西餐厅,自助餐,188,997,720,207,51,10,9
21977991,东南半岛酒店同悦自助餐厅,海鲜,167,326,171,69,53,13,20
58919896,大华酒店餐厅,海鲜,111,28,9,15,3,0,1
24360768,帝豪酒店水疗中心,足疗按摩,175,23,19,2,1,1,0
9473259,湖美之星精品酒店,经济型,128,24,10,7,3,0,4
45311530,酷6酒店(大洋百货店),经济型,138,6,3,3,0,0,0
28613952,惠安航海商务酒店,海鲜,56,0,0,0,0,0,0
22121871,无计54老别墅,经济型,78,26,15,6,4,0,1
22470946,晋江蒂卡酒店,四星级/高档型,158,13,9,3,0,0,1
18530660,泉州华荣酒店,四星级/高档型,276,13,3,5,3,0,2
8707006,明超水头酒店,三星级/舒适型,98,2,0,0,1,1,0
18289633,皇都花园酒店,经济型,168,12,6,1,1,3,1
5607446,速8酒店(泉安中路店),经济型,148,26,14,7,4,1,0
13679497,A家精品酒店(泉州西湖店),经济型,108,7,2,2,1,1,1
65346182,昇恒昌金湖大饭店,四星级/高档型,1259,7,3,3,1,0,0
18652967,维斯时尚酒店(津淮店),经济型,98,5,1,3,1,0,0
13043238,泊捷时尚酒店(美食街店),经济型,138,45,15,10,5,6,9
58571830,宝辉大酒店巴黎西餐厅(巴黎西餐...,西餐,182,66,38,14,10,3,1
19129021,名流大酒店中餐厅,其他,68,22,11,4,3,1,3
16569078,晋江万悦酒店,四星级/高档型,228,20,15,5,0,0,0
27264055,海友酒店(泉州华侨大学店),经济型,113,6,3,2,1,0,0
13761093,汉庭(泉州客运中心站店),经济型,123,48,24,11,6,2,5
2895157,泉州太子酒店,四星级/高档型,226,37,17,14,3,1,1
59220612,青年阳光精品公寓,经济型,198,9,4,3,1,0,1
