8069555,大众之星酒店,经济型,￥109,45,16,11,10,4,4
5148020,锦江之星(福州五一路三坊七巷店),经济型,￥199,121,54,43,20,1,3
2325763,福州世纪金源大饭店,五星级/豪华型,￥680,316,184,82,36,5,7
14182548,福州三迪华美达广场酒店,四星级/高档型,￥533,86,36,25,15,2,8
16987997,福州鑫金悦戴斯酒店,四星级/高档型,￥303,9,3,1,4,1,0
6457132,易佰良品酒店(福州三坊七巷东街...,经济型,￥88,184,54,51,45,14,20
56700881,福州汇雅温泉精品酒店,五星级/豪华型,￥317,39,16,10,5,1,7
3527272,舒馨时代酒店,四星级/高档型,￥389,102,46,46,7,3,0
66781238,福州阳光城希尔顿花园酒店,五星级/豪华型,￥493,37,17,9,7,1,3
56863047,璞宿酒店(世欧广场五里亭店),三星级/舒适型,￥378,15,10,3,1,0,1
4359603,速8酒店(福州五一北路店),经济型,￥183,274,156,80,23,7,8
66720615,尚客服务式公寓(长乐国际机场店),公寓式酒店,￥158,23,19,2,1,0,1
6149852,铭濠酒店（五四路温泉店）(原邦...,四星级/高档型,￥372,46,13,12,14,4,3
10663872,聚春园驿馆,四星级/高档型,￥479,48,19,20,5,2,2
16971619,福州世茂洲际酒店,五星级/豪华型,￥922,172,110,52,8,0,2
18257275,维也纳国际酒店（福州龙福店）(...,四星级/高档型,￥334,31,13,12,2,0,4
6148844,天恩（香港）假日酒店,三星级/舒适型,￥238,43,17,14,4,4,4
2325799,聚春园大酒店,四星级/高档型,￥358,83,16,29,24,6,4
57428519,福州泰禾凯宾斯基酒店,五星级/豪华型,￥804,28,17,10,1,0,0
8060078,鲤鱼洲酒店,五星级/豪华型,￥711,37,24,9,0,1,3
20923690,宇诚海景国际酒店,四星级/高档型,￥274,49,28,10,3,2,6
5191433,福州名城豪生大酒店,五星级/豪华型,￥548,75,42,25,3,2,3
27291644,福州贵安世纪金源温泉大饭店,五星级/豪华型,￥552,16,11,3,1,0,1
4359636,福州财富·品位酒店,四星级/高档型,￥538,117,57,36,15,2,7
545333,聚春园大酒店(东街口总店),闽菜,￥379,696,189,198,115,35,54
17228288,香米拉温泉酒店,四星级/高档型,￥401,131,71,38,15,5,2
58109368,福州香格里拉大酒店,五星级/豪华型,￥857,568,374,142,28,7,9
69775397,沃尔戴斯酒店,四星级/高档型,￥338,12,8,2,1,0,1
21999798,福州贵安君豪大饭店,五星级/豪华型,￥698,59,39,10,3,2,5
40746102,梅园国际大酒店,五星级/豪华型,￥556,16,8,4,2,1,1
8058465,青云山御温泉,温泉,￥153,49,24,15,6,2,2
4017763,福州晋都戴斯国际酒店,四星级/高档型,￥488,64,32,24,6,1,1
58082580,美伦大饭店,五星级/豪华型,￥708,76,38,23,11,1,1
6177978,福州中庚喜来登酒店,五星级/豪华型,￥700,124,61,47,10,2,4
56768049,福州贵安温泉会议中心酒店,四星级/高档型,￥316,9,5,1,2,0,1
56609294,罗源湾世纪金源大饭店,四星级/高档型,￥500,20,13,7,0,0,0
2325748,东百洲际大酒店,四星级/高档型,￥490,117,39,39,25,3,8
69672902,福州明谷行馆,四星级/高档型,￥1319,5,1,2,1,0,1
22033467,福州市仓山区格林之星酒店,经济型,￥139,10,8,0,1,1,0
51063684,聚春园会展酒店,五星级/豪华型,￥1100,13,3,4,2,1,3
65307713,湖畔悦景酒店(农大学生街店),三星级/舒适型,￥98,4,1,3,0,0,0
21017069,名门世家时尚酒店,三星级/舒适型,￥259,31,16,9,3,1,2
5586995,易佰连锁旅店(福州东街口三坊七...,经济型,￥88,368,138,109,65,16,40
3508888,西湖宾馆,四星级/高档型,￥386,74,20,33,15,1,4
2901016,青云山御温泉酒店,四星级/高档型,￥366,55,16,22,6,1,5
58594445,福建闽江饭店,四星级/高档型,￥552,93,30,32,21,6,4
8938672,福清创元千禧大酒店,五星级/豪华型,￥510,85,60,20,4,0,1
5740559,艾玛天外天酒店,三星级/舒适型,￥308,60,28,18,7,4,3
5179972,福清瑞鑫大酒店,四星级/高档型,￥338,80,51,20,6,1,2
5151295,旅行家小酒店,四星级/高档型,￥311,80,44,30,4,0,2
22144217,璟江大酒店,四星级/高档型,￥315,10,6,3,1,0,0
57492797,福州闽江世纪金源会展大饭店,五星级/豪华型,￥500,41,20,15,6,0,0
13770061,融侨水乡酒店,五星级/豪华型,￥512,38,19,12,5,2,0
5672012,空港佰翔花园酒店,四星级/高档型,￥2088,49,24,16,7,0,2
11300466,泊尔雅武夷酒店,四星级/高档型,￥385,20,7,6,3,0,2
22192172,花界爱情酒店(福州立洲店),三星级/舒适型,￥299,21,13,3,3,1,1
58125655,红旗大饭店,三星级/舒适型,￥138,52,24,13,11,3,1
58911732,永泰冠景温泉大饭店,五星级/豪华型,￥306,11,6,3,2,0,0
20815838,铭濠城市酒店,三星级/舒适型,￥218,21,7,5,5,2,2
56696167,福州大饭店,四星级/高档型,￥494,128,37,54,25,4,6
2325772,福州最佳西方财富酒店,四星级/高档型,￥474,225,120,76,24,0,2
2325796,华威大饭店,三星级/舒适型,￥223,78,25,27,14,5,6
57753190,中庚聚龙酒店,五星级/豪华型,￥552,10,7,3,0,0,0
19649389,艾阁时代酒店,四星级/高档型,￥273,36,18,13,4,0,1
2325736,阳光假日大酒店(高桥路店),四星级/高档型,￥358,106,41,41,13,3,6
37933722,旗山森林温泉度假村,四星级/高档型,￥296,20,6,5,6,1,2
68320249,如家睿柏·云酒店（福州五一北路...,精品酒店,￥187,4,3,0,1,0,0
546343,梅园酒店餐厅(铜盘路店),闽菜,￥91,52,11,19,7,3,3
13770053,豪柏大酒店,四星级/高档型,￥379,149,84,41,15,5,4
66802773,雅精品主题酒店,更多酒店住宿,￥168,8,2,5,0,0,1
8008614,长乐豪生长山湖国际酒店,五星级/豪华型,￥518,58,44,11,2,0,1
4559936,福州万达威斯汀酒店,五星级/豪华型,￥880,255,172,61,15,3,4
13761010,九天时尚酒店(玉屏店),经济型,￥138,52,38,10,4,0,0
5159566,凤凰假日酒店,经济型,￥198,63,26,14,16,2,3
14779123,艾薇儿情景主题酒店,经济型,￥232,107,52,32,13,4,6
18177113,三迪华美达广场酒店全日餐厅,自助餐,￥113,54,22,14,11,3,4
4559937,福州万达威斯汀酒店知味餐厅,自助餐,￥149,328,104,78,70,35,41
19011689,福州香格里拉大酒店EZ餐厅(EZ餐...,自助餐,￥157,804,253,173,107,39,24
40116762,凯宾斯基酒店·凯仕餐厅,自助餐,￥250,153,61,44,29,6,13
21991711,悦华酒店自助餐厅(自助餐厅),自助餐,￥146,273,148,79,35,8,3
66168499,梅园国际大酒店·自助餐厅,自助餐,￥153,28,10,10,2,6,0
13981998,贵安温泉度假村,温泉,￥114,506,294,145,50,6,10
67997494,福州仓山凯悦酒店咖啡厅,自助餐,￥140,42,18,12,8,1,3
26214407,贵安欢乐世界,景点,￥228,957,636,213,66,13,29
57590718,福州沐思城市酒店,四星级/高档型,￥458,256,133,89,25,4,5
48811942,铭濠酒店精品自助火锅,自助餐,￥83,225,137,62,22,2,2
19479921,溪山温泉酒店,温泉,￥193,210,116,60,17,8,9
546012,福州香格里拉大酒店韩香馆(韩香...,韩国料理,￥151,130,22,26,16,4,12
11547056,贵安世纪金源大饭店(贵安新天地...,自助餐,￥488,138,105,22,10,0,1
48033343,福州空港佰翔花园酒店(SLOW西餐...,自助餐,￥78,18,13,3,1,0,1
58579841,福州阳光城希尔顿花园酒店Hilton...,自助餐,￥100,32,13,7,11,0,1
41420485,凯宾斯基酒店·泰福酒楼,闽菜,￥115,67,28,21,10,3,5
5402400,温泉戴斯酒店爱丽丝西餐厅,自助餐,￥40,29,9,12,1,4,3
17997962,创元千禧大酒店 · 西餐厅,自助餐,￥201,122,69,35,10,4,4
58345299,凯宾斯基酒店·云阁扒房,西餐,￥452,54,27,15,6,1,5
4725238,名城豪生大酒店二楼神田川日餐厅,日本料理,￥133,91,54,22,9,3,3
58345232,凯宾斯基酒店大堂酒廊,咖啡厅,￥51,38,19,13,3,2,1
57943949,聚春園會展酒店,自助餐,￥232,41,22,9,5,1,4
32592289,福州融侨皇冠假日酒店,五星级/豪华型,￥836,32,17,12,1,0,2
9977523,索菲斯屏山酒店餐厅,自助餐,￥119,139,58,41,27,3,4
19011693,福州香格里拉大酒店夏宫餐厅(夏...,粤菜,￥130,313,92,101,38,13,9
56776374,中庚喜来登酒店(盛宴标帜餐厅),自助餐,￥244,23,6,9,7,0,1
28612511,24府品质酒店(三坊七巷店),三星级/舒适型,￥308,40,20,14,6,0,0
27482852,福州融侨皇冠假日酒店美厨汇全日...,自助餐,￥208,42,13,16,7,3,3
38130415,永泰中国云顶,景点,￥338,106,41,32,18,6,9
71072748,凯悦酒店·闽味中餐厅,闽菜,￥238,14,12,1,0,0,1
20730773,福州温泉城.汇雅温泉,温泉,￥136,54,22,19,10,2,1
16971670,福州世茂洲际酒店·福邸,闽菜,￥352,125,60,37,16,4,8
4559938,福州万达威斯汀酒店中国元素餐厅...,粤菜,￥159,345,189,93,35,9,19
3277672,丽景假日大酒店(西餐厅),闽菜,￥158,289,164,84,26,8,4
13754666,川捷温泉,温泉,￥151,36,19,10,4,2,1
8011424,中庚喜来登酒店采悦轩中餐厅,粤菜,￥197,237,91,91,30,12,13
69110395,鲤鱼洲酒店,其他,￥119,10,6,2,2,0,0
6110250,藤山戴斯国际酒店,闽菜,￥97,331,134,100,56,20,21
32583947,融侨皇冠假日酒店餐厅,西餐,￥318,41,19,17,3,1,1
5379992,奥体商务酒店,三星级/舒适型,￥199,33,15,12,3,3,0
2325784,保罗假日大酒店,三星级/舒适型,￥224,43,12,18,8,2,2
19738753,罗源湾世纪金源大饭店餐厅(餐饮...,自助餐,￥286,107,61,29,9,3,5
6312517,薇阁酒店,经济型,￥142,24,9,8,4,0,3
14728839,莫泰酒店(五一南路台江步行街店),经济型,￥135,70,29,27,12,1,1
13746203,兰天大酒店,四星级/高档型,￥360,39,23,13,3,0,0
58589917,三明大厦大酒店,自助餐,￥82,102,48,26,16,7,5
5498315,晋都戴斯国际酒店·西餐厅,自助餐,￥124,60,24,19,14,1,2
8967082,速8酒店(福州中亭街东店),经济型,￥128,50,19,18,6,3,4
58588698,璟江大酒店,自助餐,￥105,15,9,2,2,2,0
57167715,蔓哈顿酒店,经济型,￥185,57,22,17,9,4,5
67665763,福州如家· 派柏云酒店(学生街师...,经济型,￥169,1,1,0,0,0,0
13758850,速8酒店(福州长乐西洋中路店),经济型,￥148,50,31,6,8,3,2
67718764,中庚聚龍酒店香汇自助餐厅,自助餐,￥200,13,4,3,2,3,1
10346287,麒麟荣誉国际酒店,五星级/豪华型,￥400,39,22,11,2,1,3
24360107,速8酒店(福州三叉街地铁站店),经济型,￥168,10,4,4,1,0,1
22552350,阿波罗公寓酒店,经济型,￥108,140,48,38,32,9,9
6133164,宜居精品酒店,经济型,￥88,29,18,8,3,0,0
37754211,青皮树酒店(西湖店),经济型,￥229,4,3,1,0,0,0
4741775,锦江都城酒店(福州台江店),四星级/高档型,￥335,38,17,9,6,2,4
11315998,龙凤山庄荣誉酒店,四星级/高档型,￥514,29,16,10,2,0,1
4359498,凯悦大酒店,三星级/舒适型,￥258,37,10,9,9,3,6
2325802,于山宾馆(客房),三星级/舒适型,￥449,44,9,20,7,3,2
5527296,福建光龙大酒店(原四季如春大酒...,经济型,￥231,50,20,14,10,2,4
17167301,大学城青春记忆主题公寓,经济型,￥98,4,3,1,0,0,0
11319261,速8酒店(福州福清利桥店),经济型,￥148,49,22,12,12,1,2
8061926,佳裕精品酒店,经济型,￥158,6,5,1,0,0,0
65681023,冠景温泉大酒店(自助餐厅),自助餐,￥90,32,13,9,8,1,1
22683371,海友酒店(福州工业路宝龙店),经济型,￥169,15,3,6,4,0,2
16798803,冠发君悦大酒店自助餐,自助餐,￥161,72,43,17,7,3,2
2325793,黄金大酒店,四星级/高档型,￥337,110,39,35,27,3,4
6125635,儒庭连锁酒店(东泰禾店),经济型,￥139,32,17,5,4,2,4
22439471,汉庭(福州首山路店),经济型,￥170,22,11,3,5,0,3
22598728,她他主题酒店,经济型,￥169,19,9,5,3,0,2
58401033,城客空间青年旅舍,经济型,￥38,5,3,1,1,0,0
21607094,连江国惠大酒店(茶餐厅),粤菜,￥144,36,17,14,4,0,1
58088826,维恩时光酒店(西湖店),三星级/舒适型,￥329,30,9,7,4,3,7
17296680,凯帝酒店,四星级/高档型,￥282,35,13,13,3,1,5
